SITE,POOL#,ANENOME,ARTC,BARN,BLEACHEDARTC,BLEACHEDENCC,BLEACHEDMAST,BLEACHEDODAN,BIOFILM,BRYOZOAN,CERAMIUM,CHONDRACANTHUS,CONSTANTINIA,CRUST,CRYPTO,DERMASTERIAS,DILSEA,EGREGIA,ELEGANTISSIMA,ENCC,ENCR,FILRED,GELLIDIUM,GUMBOOT,HERMIT,ISOPOD,JUVMAST,JUVMAZZ,JUVPRIO,JUVRED,JUVULVA,LAMELLOSA,LAMINARIA,LEPTASTERIAS,LIMPET,LITTORINE,MARGHARITES,MAST,MASTGAM,MAZZ,MOPALIA,MUSSEL,NEO,NEOGASTROCLONIUM,ODAN,ODAN-SORANTHERA,OSMUNDEA,PACHYGRAPSUS,PLOCAMIUM,PRIO,PTILOTA,PUGETTIA,RED1,RED2,RED3,RED4,RED5,RED6,RED7,RED8,RED9,RED10,RED11,RED12,RED13,REDTURF,REDHOLDFAST,SCULPIN,SERPULID,SG,SG adj,SG-SMITH,SPIRORBID,SPONGE,TEGULA,ULVA,URCHIN,XANTH,BARE
BB,1,0.005,0,0.01,0,0,0,0,0.01,0,0,0,0,0.036,0,0.005,0.005,0,0,0.086,0.02,0,0,0,0.015,0,0,0,0,0.005,0,0,0,0,0,0,0,0.015,0.005,0,0,0,0.03,0,0.061,0,0,0,0,0.005,0,0,0.005,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.228,0.228,0.249,0,0,0.01,0,0,0,0.253807107
BB,2,0,0.063,0.052,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.437,0.01,0,0.01,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.052,0,0.041,0,0,0,0,0.041,0,0,0,0,0,0,0.01,0.021,0.135,0.01,0.01,0.021,0.01,0,0,0,0,0.01,0,0.094,0.094,0,0.01,0,0.073,0,0,0,0.177083333
BB,3,0,0.111,0.01,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0.263,0,0,0,0.02,0.03,0,0,0,0,0.05,0,0,0,0,0,0,0.01,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0.01,0.01,0,0,0.455,0.455,0.01,0,0,0.01,0,0,0,0.080808081
BB,4,0.016,0.048,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.016,0,0,0.032,0.096,0,0,0,0,0.096,0,0,0,0,0,0,0,0.032,0.095,0,0,0,0.032,0,0,0.016,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0.334,0.334,0,0,0,0.016,0,0,0,0.111111111
BB,5,0,0,0.136,0,0,0,0,0.029,0,0,0,0,0.01,0,0,0,0,0.058,0.039,0.019,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0.02,0.049,0,0.204,0.01,0,0,0,0,0,0,0,0,0.029,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0.01,0,0,0,0,0.01,0.213,0,0,0,0.281553398
Luff,1,0,0.203,0,0,0,0,0,0,0,0,0,0.009,0,0.009,0,0,0.019,0,0.093,0,0.12,0,0,0,0,0,0,0,0.121,0.009,0,0.009,0.009,0,0,0,0,0.028,0.13,0,0,0.009,0,0,0,0,0,0.149,0.102,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547,0.547,0,0,,0,0.038,0,0,0.074074074
Luff,2,0,0.357,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0,0,0,0,0,0,0,0,0.143,0,0,0,0.357,0,0,0,0,0,0.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.071,0,0.071,0
Luff,3,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0.167,0,0,0.167,0,0,0,0,0,0,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722,0.722,0,0,0,0,0,0,0,0
Luff,4,0,0.445,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0.056,0,0.056,0,0.056,0,0,0,0,0,0.056,0,0,0,0,0.056,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0.167,0,0.334,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0.056,0,0,0,0,0.112,0,0,0
Luff,5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.112,0,0,0,0,0,0,0,0.056,0,0,0,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945,0.945,0,0,0,0,0,0,0,0
