SITE,POOL#,ANENOME,ARTC,BARN,BLEACHEDARTC,BLEACHEDENCC,BLEACHEDMAST,BLEACHEDODAN,BIOFILM,BRYOZOAN,CERAMIUM,CHONDRACANTHUS,CONSTANTINIA,CRUST,CRYPTO,DERMASTERIAS,DILSEA,EGREGIA,ELEGANTISSIMA,ENCC,ENCR,FILRED,GELLIDIUM,GUMBOOT,HERMIT,ISOPOD,JUVMAST,JUVMAZZ,JUVPRIO,JUVRED,JUVULVA,LAMELLOSA,LAMINARIA,LEPTASTERIAS,LIMPET,LITTORINE,MARGHARITES,MAST,MASTGAM,MAZZ,MOPALIA,MUSSEL,NEO,NEOGASTROCLONIUM,ODAN,ODAN-SORANTHERA,OSMUNDEA,PACHYGRAPSUS,PLOCAMIUM,PRIO,PTILOTA,PUGETTIA,RED1,RED2,RED3,RED4,RED5,RED6,RED7,RED8,RED9,RED10,RED11,RED12,RED13,REDTURF,REDHOLDFAST,SCULPIN,SERPULID,SG,SG-SMITH,SPIRORBID,SPONGE,TEGULA,ULVA,URCHIN,XANTH,SUM,SG Cover,Diversity,Dominance
BB,1,3.67309E-05,0,0.000146924,0,0,0,0,0.000146924,0,0,0,0,0.001904132,0,3.67309E-05,3.67309E-05,0,0,0.010866483,0.000587695,0,0,0,0.000330579,0,0,0,0,3.67309E-05,0,0,0,0,0,0,0,0.000330579,3.67309E-05,0,0,0,0.001322314,0,0.005467034,0,0,0,0,3.67309E-05,0,0,3.67309E-05,3.67309E-05,3.67309E-05,3.67309E-05,3.67309E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.07637686,0.091094215,0,0,0.000146924,0,0,0,0.189124702,22.8,0.810875298,5.287516605
BB,2,0,0.002899408,0.001975309,0,0,0,0,0,0,0,0,0,0.000292205,0,0,0,0,0,0.139505442,7.30514E-05,0,7.30514E-05,0,0.000292205,7.30514E-05,0,0,0,0,0,0,0,0,0,0,0,7.30514E-05,0,0,0,0,0.001975309,0,0.001227993,0,0,0,0,0.001227993,0,0,0,0,0,0,7.30514E-05,0.000322156,0.013313609,7.30514E-05,7.30514E-05,0.000322156,7.30514E-05,0,0,0,0,7.30514E-05,0,0.006454818,0,7.30514E-05,0,0.003892907,0,0,0,0.174432026,9.4,0.825567974,5.732892202
BB,3,0,0.01,8.11622E-05,0,0,0,0,0.000324649,8.11622E-05,0,0,0,0,0,0,0,0,0,0.056139112,0,0,0,0.000324649,0.00073046,0,0,0,0,0.002029056,0,0,0,0,0,0,8.11622E-05,0,0.00211103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00073046,8.11622E-05,8.11622E-05,8.11622E-05,0,0,0.168026134,8.11622E-05,0,0,8.11622E-05,0,0,0,0.241064849,45.5,0.758935151,4.148261373
BB,4,0.000174563,0.001571065,0.002793005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049709483,0.000174563,0,0,0.000698251,0.006284261,0,0,0,0,0.006284261,0,0,0,0,0,0,0,0.000698251,0.00615402,0,0,0,0.000698251,0,0,0.000174563,0,0,0,0.000698251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000174563,0,0.076068464,0,0,0,0.000174563,0,0,0,0.152530376,33.4,0.847469624,6.556071152
BB,5,0,0,0.022140398,0,0,0,0,0.001006708,0,0,0,0,0.000119704,0,0,0,0,0.004026833,0.001820693,0.00043213,0,0,0,0.001820693,0,0,0,0,0,0,0,0,0,0.000478815,0.002874086,0,0.049815896,0.000119704,0,0,0,0,0,0,0,0,0.001006708,0,0.000119704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001006708,0.000119704,0,0,0,0.000119704,0.054308376,0,0,0,0.141336564,0,0.858663436,7.07530998
Luff,1,0,0.01463552,0,0,0,0,0,0,0,0,0,2.87674E-05,0,2.87674E-05,0,0,0.00012821,0,0.003071723,0,0.00511421,0,0,0,0,0,0,0,0.005199802,2.87674E-05,0,2.87674E-05,2.87674E-05,0,0,0,0,0.00027844,0.006002094,0,0,2.87674E-05,0,0,0,0,0,0.007884763,0.003695017,0.001944821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106265121,0,0,0,0,0.000512842,0,0,0.154905167,54.7,0.845094833,6.455562587
Luff,2,0,0.034357683,0.001358952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001358952,0,0,0,0,0,0,0,0,0.005512638,0,0,0,0.034357683,0,0,0,0,0,0.021896624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067394964,0,0,0,0,0.001358952,0,0.001358952,0.1689554,50,0.8310446,5.918721758
Luff,3,0,0.026207155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011752795,0,0,0,0,0,0,0,0,0,0.000741152,0,0,0,0,0,0,0,0,0,0.006591198,0,0,0.006591198,0,0,0,0,0,0,0.035762726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123198611,0,0,0,0,0,0,0,0.210844836,72.2,0.789155164,4.742824252
Luff,4,0,0.070750276,0,0,0,0,0,0,0,0,0,0.009964168,0,0,0,0,0.001120429,0,0.001120429,0,0.001120429,0,0,0,0,0,0.001120429,0,0,0,0,0.001120429,0,0,0,0,0,0.001120429,0,0,0,0,0,0,0,0,0,0.009964168,0,0.039856674,0.001120429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001120429,0,0,0,0,0.004481714,0,0,0.14398043,5.6,0.85601957,6.945388359
Luff,5,0,0.062312921,0,0,0,0,0,0,0,0,0,0,0,0.000781653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01228412,0.003126613,0,0,0,0,0,0,0,0.000781653,0,0,0,0.003126613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222587985,0,0,0,0,0,0,0,0.305001559,94.5,0.694998441,3.278671765
