SITE,POOL,Sampling_time,time_of_day,Ocean_pH,tidepool_pH,SG Cover,T-O
BB,5,1,night,7.89,7.574,0,-0.316
BB,2,1,night,7.89,7.596,9.38,-0.294
BB,2,2,night,7.73,7.418,9.38,-0.312
BB,4,1,night,7.89,7.572,30.16,-0.318
BB,4,2,night,7.73,7.434,30.16,-0.296
BB,1,1,night,7.89,7.604,39.59,-0.286
BB,1,2,night,7.73,7.466,39.59,-0.264
BB,3,1,night,7.89,7.544,46.46,-0.346
BB,3,2,night,7.73,7.438,46.46,-0.292
LH,4,2,day,7.858,7.765,5.56,-0.093
LH,4,1,day,7.965,7.825,5.56,-0.14
LH,2,2,day,7.858,7.673333333,42.86,-0.184666667
LH,2,1,day,7.965,7.905,42.86,-0.06
LH,1,2,day,7.858,7.802,43.52,-0.056
LH,1,1,day,7.965,7.984,43.52,0.019
LH,3,2,day,7.858,7.783333333,44.44,-0.074666667
LH,3,1,day,7.965,7.8,44.44,-0.165
LH,5,2,day,7.858,7.795,77.78,-0.063
LH,5,1,day,7.965,7.84,77.78,-0.125
MR,5,1,night,8.125,7.878,0,-0.247
MR,6,1,night,8.125,7.85,0,-0.275
MR,2,1,night,8.125,7.948571429,8.41,-0.176428571
MR,1,1,night,8.125,7.702,63.55,-0.423
MR,3,1,night,8.125,7.886,65.45,-0.239
MR,4,1,night,8.125,8.003333333,93.75,-0.121666667
MR,9,2,night,8.08,7.913333333,52.78,-0.166666667
MR,10,2,night,8.08,7.48,31.43,-0.6
MR,11,2,night,8.08,7.496666667,38.89,-0.583333333
MR,12,2,night,8.08,7.644,84.72,-0.436
MR,13,2,night,8.08,7.614,19,-0.466
MR,14,2,night,8.08,8.0225,13.89,-0.0575
MR,15,2,night,8.08,7.577142857,25.69,-0.502857143
MR,16,2,night,8.08,7.676,0,-0.404
MR,17,2,night,8.08,7.56,47.7,-0.52
MR,18,2,night,8.08,7.38,50.47,-0.7
MR,19,2,night,8.08,7.34,30.19,-0.74
MR,16,1,day,8.125,8.192,0,0.067
MR,14,1,day,8.125,7.883333333,13.89,-0.241666667
MR,13,1,day,8.125,8.406666667,19,0.281666667
MR,15,1,day,8.125,8.238,25.69,0.113
MR,19,1,day,8.125,8.416,30.19,0.291
MR,10,1,day,8.125,8.49,31.43,0.365
MR,11,1,day,8.125,8.396666667,38.89,0.271666667
MR,17,1,day,8.125,8.494285714,47.7,0.369285714
MR,18,1,day,8.125,8.262,50.47,0.137
MR,9,1,day,8.125,8.6,52.78,0.475
MR,8,1,day,8.125,8.38,61.68,0.255
MR,7,1,day,8.125,8.294,76.39,0.169
MR,12,1,day,8.125,8.334,84.72,0.209
MR,1,2,day,8.08,8.526,63.55,0.446
MR,2,2,day,8.08,8.292857143,8.41,0.212857143
MR,3,2,day,8.08,8.121428571,65.45,0.041428571
MR,4,2,day,8.08,8.13,93.75,0.05
MR,5,2,day,8.08,8.074,0,-0.006
MR,6,2,day,8.08,8.04,0,-0.04
MR,7,2,day,8.08,8.171666667,76.39,0.091666667
MR,8,2,day,8.08,8.296666667,61.68,0.216666667
