Site,Region,Length,Width,AVGdepth,SA,Volume,Elevation,Salinity,Temperature
MR1,Cape Mendocino,2.35,1.55,0.3444,2.8608,1254.3859,1.7081,32.3333,15.68
MR2,Cape Mendocino,5.55,4.8,0.3021,18.9092,8046.8471,1.7716,34,15.0667
MR4,Cape Mendocino,4.6,2.5,0.5991,9.0321,6889.7321,1.1493,34.3333,12.675
MR5,Cape Mendocino,0.95,0.75,0.0981,0.5596,69.9141,1.2636,31.6667,14.2667
MR6,Cape Mendocino,1.7,1.55,0.4252,2.0695,1120.4478,1.1493,33.3333,13.08
MR7,Cape Mendocino,0.99,0.64,0.343,0.4976,217.3248,1.3906,34,13.6333
MR8,Cape Mendocino,3.3,2.4,0.0923,6.2204,731.2774,0.1905,34.6667,12.6667
MR9,Cape Mendocino,4.5,1.2,0.1061,3.8199,572.724,0.1397,36,13.08
MR10,Cape Mendocino,1.6,0.95,0.1245,1.1938,189.3084,0.5016,35,11.8333
MR11,Cape Mendocino,2.15,1.9,0.0254,3.0157,103.8271,0.527,35,11.2
MR12,Cape Mendocino,1.2,1,0.0519,0.7602,62.25,0.5207,27.6667,11.5
MR13,Cape Mendocino,3.2,1.5,0.097,3.7699,465.3913,-0.1017,35.3333,10.65
MR14,Cape Mendocino,4.5,1.15,0.2157,3.9216,1116.3214,0.1778,35.3333,10.7
MR15,Cape Mendocino,1.55,0.66,10.0625,0.8035,10293.9375,0.6921,35,11.85
MR16,Cape Mendocino,6.52,1.12,0.2986,5.7353,2180.1967,0.4127,33.6667,11
MR17,Cape Mendocino,4.44,2.23,0.3472,7.7764,3437.7549,0.9842,34.3333,11.1
MR18,Cape Mendocino,8.4,4.9,0.2004,23.0548,8246.7,0.2603,33.6667,10.85
MR19,Cape Mendocino,4.88,1.6,12.8077,6.1324,1000.0246,1.6065,34.3333,11.6333
MR20,Cape Mendocino,4.4,2.06,15.3276,5.9484,1389.2924,1.9113,33.6667,11.9667
Luff1,Trinidad,4.26,2.02,0.1768,3.2395,813.6336,0.36,35,11.3667
Luff2,Trinidad,1.37,0.96,0.0675,1.033,60.75,0.261,35,11.5
Luff3,Trinidad,1,0.55,0.0738,1.6258,31.8895,0.62,35,11.4
Luff4,Trinidad,0.82,0.77,0.2628,0.455,148.2263,0.359,35,11.8
Luff5,Trinidad,1.2,0.75,0.0633,0.6159,20.7469,0.32,35,11.8
BB1,Trinidad,7.34,4.65,0.0734,14.9496,2506.4953,-0.141,35,10.8
BB2,Trinidad,3.46,2.17,0.1184,3.6673,889.1289,-0.1537,35.3333,10.96
BB3,Trinidad,4.08,3.9,0.1256,5.1797,1998.18,0.0178,35,10.96
BB4,Trinidad,2.43,2.07,0.093,1.4859,468.018,-0.0902,35,11.08
BB5,Trinidad,4.4,1.35,0.0736,1.215,437.184,-0.0711,35.6667,11.1
